# Volcado crudo Ui24R
# fecha: 2026-09-08T17:00:25.941Z
# host: 192.168.0.49
# handshake: 10815005726458572105:5:5:websocket
# url websocket: ws://192.168.0.49/socket.io/1/websocket/10815005726458572105
# duracion objetivo: 20s
# NOTA: esta sesion no envio ningun comando de escritura. Solo heartbeat "2::".

    65ms [MSG2] SETS^i.16.eq.prname^
    65ms [MSG2] SETS^i.16.instrument^
    65ms [MSG2] SETS^i.16.src^hw.16
    65ms [MSG2] SETS^i.16.scsrc^ua.16
    65ms [MSG2] SETS^i.15.dyn.prname^Kick Drum
    65ms [MSG2] SETS^i.15.gate.prname^
    65ms [MSG2] SETS^i.19.iosysname^
    65ms [MSG2] SETS^i.19.src^hw.19
    65ms [MSG2] SETS^i.19.scsrc^ua.19
    65ms [MSG2] SETS^i.19.instrument^
    65ms [MSG2] SETS^i.19.name^JORGITO
    65ms [MSG2] SETS^i.19.iosyscmd^
    65ms [MSG2] SETS^i.18.dyn.prname^
    65ms [MSG2] SETS^i.18.eq.prname^Djembe marcos
    65ms [MSG2] SETS^i.18.gate.prname^Djembe marcos
    65ms [MSG2] SETS^i.18.instrument^
    65ms [MSG2] SETS^i.18.src^hw.18
    65ms [MSG2] SETS^i.18.scsrc^ua.18
    65ms [MSG2] SETS^i.18.name^DJEMBE MARCOS
    65ms [MSG2] SETS^i.18.iosysname^
    65ms [MSG2] SETS^i.18.iosyscmd^
    65ms [MSG2] SETS^i.17.dyn.prname^
    65ms [MSG2] SETS^i.17.gate.prname^
    65ms [MSG2] SETS^i.13.src^hw.13
    65ms [MSG2] SETS^i.13.scsrc^ua.13
    65ms [MSG2] SETS^i.13.instrument^
    65ms [MSG2] SETS^i.13.name^
    65ms [MSG2] SETS^i.13.iosyscmd^
    65ms [MSG2] SETS^i.13.iosysname^
    65ms [MSG2] SETS^i.13.dyn.prname^
    65ms [MSG2] SETS^i.13.eq.prname^
    65ms [MSG2] SETS^i.12.src^hw.12
    65ms [MSG2] SETS^i.12.scsrc^ua.12
    65ms [MSG2] SETS^i.12.eq.prname^Voz gab
    65ms [MSG2] SETS^i.12.iosysname^
    65ms [MSG2] SETS^i.12.iosyscmd^
    65ms [MSG2] SETS^i.12.instrument^
    65ms [MSG2] SETS^i.12.dyn.prname^
    65ms [MSG2] SETS^i.12.gate.prname^Voz gab
    65ms [MSG2] SETS^i.12.name^VOZ BRUNO
    65ms [MSG2] SETS^i.15.iosyscmd^
    65ms [MSG2] SETS^i.15.iosysname^
    65ms [MSG2] SETS^i.15.name^DJEMBES
    65ms [MSG2] SETS^i.15.src^hw.15
    65ms [MSG2] SETS^i.15.scsrc^ua.15
    65ms [MSG2] SETS^i.15.instrument^
    65ms [MSG2] SETS^i.15.eq.prname^
    65ms [MSG2] SETS^i.14.gate.prname^
    65ms [MSG2] SETS^i.14.iosysname^
    65ms [MSG2] SETS^i.14.iosyscmd^
    65ms [MSG2] SETS^i.14.instrument^
    65ms [MSG2] SETS^i.14.src^hw.14
    65ms [MSG2] SETS^i.14.scsrc^ua.14
    65ms [MSG2] SETS^i.14.name^MARACA
    65ms [MSG2] SETS^i.14.dyn.prname^Male Vocal
    65ms [MSG2] SETS^i.14.eq.prname^
    65ms [MSG2] SETS^i.13.gate.prname^
    65ms [MSG2] SETS^i.9.eq.prname^
    65ms [MSG2] SETS^i.9.dyn.prname^Kick Drum
    65ms [MSG2] SETS^i.9.gate.prname^
    65ms [MSG2] SETS^i.9.iosyscmd^
    65ms [MSG2] SETS^i.9.iosysname^
    65ms [MSG2] SETS^i.9.src^hw.9
    65ms [MSG2] SETS^i.9.scsrc^ua.9
    65ms [MSG2] SETS^i.9.instrument^
    65ms [MSG2] SETS^i.9.name^BOMBO
    65ms [MSG2] SETS^i.8.dyn.prname^
    65ms [MSG2] SETS^i.8.eq.prname^Voz bruno
    65ms [MSG2] SETS^i.8.gate.prname^Voz bruno
    65ms [MSG2] SETS^i.8.instrument^
    65ms [MSG2] SETS^i.8.src^hw.8
    65ms [MSG2] SETS^i.8.scsrc^ua.8
    66ms [MSG3] SETS^i.8.name^VOZ JOSE
    66ms [MSG3] SETS^i.8.iosysname^
    66ms [MSG3] SETS^i.8.iosyscmd^
    66ms [MSG3] SETS^i.11.eq.prname^Voz camila
    66ms [MSG3] SETS^i.11.iosysname^
    66ms [MSG3] SETS^i.11.src^hw.11
    66ms [MSG3] SETS^i.11.scsrc^ub.11
    66ms [MSG3] SETS^i.11.instrument^
    66ms [MSG3] SETS^i.11.gate.prname^Voz camila
    66ms [MSG3] SETS^i.11.dyn.prname^Male Vocal
    66ms [MSG3] SETS^i.11.name^VOZ CAMILA
    66ms [MSG3] SETS^i.11.iosyscmd^
    66ms [MSG3] SETS^i.10.eq.prname^Voz gab
    66ms [MSG3] SETS^i.10.instrument^
    66ms [MSG3] SETS^i.10.src^hw.10
    66ms [MSG3] SETS^i.10.scsrc^ua.10
    66ms [MSG3] SETS^i.10.gate.prname^Voz gab
    66ms [MSG3] SETS^i.10.dyn.prname^
    66ms [MSG3] SETS^i.10.name^VOZ GAB
    66ms [MSG3] SETS^i.10.iosysname^
    66ms [MSG3] SETS^i.10.iosyscmd^
    66ms [MSG3] SETS^i.5.gate.prname^
    66ms [MSG3] SETS^i.5.dyn.prname^
    66ms [MSG3] SETS^i.5.name^
    66ms [MSG3] SETS^i.5.iosyscmd^
    66ms [MSG3] SETS^i.5.iosysname^
    66ms [MSG3] SETS^i.5.eq.prname^
    66ms [MSG3] SETS^i.5.src^hw.5
    66ms [MSG3] SETS^i.5.scsrc^ua.5
    66ms [MSG3] SETS^i.5.instrument^
    66ms [MSG3] SETS^i.4.dyn.prname^
    66ms [MSG3] SETS^i.4.gate.prname^
    66ms [MSG3] SETS^i.4.iosysname^
    66ms [MSG3] SETS^i.4.iosyscmd^
    66ms [MSG3] SETS^i.4.instrument^
    66ms [MSG3] SETS^i.4.name^
    66ms [MSG3] SETS^i.4.src^hw.4
    66ms [MSG3] SETS^i.4.scsrc^ua.4
    66ms [MSG3] SETS^i.4.eq.prname^
    66ms [MSG3] SETS^i.7.dyn.prname^
