clave	veces	ultimo_valor
a.1.dyn.prmod	1	0
a.1.dyn.prname	1	
a.1.dyn.ratio	1	1
a.1.dyn.release	1	0.4887695312
a.1.dyn.softknee	1	0
a.1.dyn.threshold	1	0.875
a.1.eq.bypass	1	0
a.1.eq.hpf	1	0
a.1.eq.linked	1	0
a.1.eq.lpf	1	1
a.1.eq.peak.0	1	0.5
a.1.eq.peak.1	1	0.5
a.1.eq.peak.10	1	0.5
a.1.eq.peak.11	1	0.5
a.1.eq.peak.12	1	0.5
a.1.eq.peak.13	1	0.5
a.1.eq.peak.14	1	0.5
a.1.eq.peak.15	1	0.5
a.1.eq.peak.16	1	0.5
a.1.eq.peak.17	1	0.5
a.1.eq.peak.18	1	0.5
a.1.eq.peak.19	1	0.5
a.1.eq.peak.2	1	0.5
a.1.eq.peak.20	1	0.5
a.1.eq.peak.21	1	0.5
a.1.eq.peak.22	1	0.5
a.1.eq.peak.23	1	0.5
a.1.eq.peak.24	1	0.4813792591
a.1.eq.peak.25	1	0.4760583047
a.1.eq.peak.26	1	0.47073865
a.1.eq.peak.27	1	0.4720695385
a.1.eq.peak.28	1	0.5
a.1.eq.peak.29	1	0.5
a.1.eq.peak.3	1	0.5
a.1.eq.peak.30	1	0.5
a.1.eq.peak.4	1	0.5
a.1.eq.peak.5	1	0.5
a.1.eq.peak.6	1	0.5
a.1.eq.peak.7	1	0.5
a.1.eq.peak.8	1	0.5
a.1.eq.peak.9	1	0.5
a.1.eq.prmod	1	1
a.1.eq.prname	1	
a.1.forceunmute	1	0
a.1.gate.attack	1	0
a.1.gate.bypass	1	0
a.1.gate.depth	1	0
a.1.gate.enabled	1	1
a.1.gate.hold	1	0.3042441765
a.1.gate.prmod	1	0
a.1.gate.prname	1	
a.1.gate.release	1	0.3150737134
a.1.gate.thresh	1	0
a.1.invert	1	0
a.1.link2master	1	0
a.1.matrix	1	0
a.1.mgmask	1	0
a.1.mix	1	0.3728339881
a.1.mtx.0.mute	1	0
a.1.mtx.0.pan	1	0.5
a.1.mtx.0.postproc	1	1
a.1.mtx.0.value	1	0
a.1.mtx.1.mute	1	0
a.1.mtx.1.pan	1	0.5
a.1.mtx.1.postproc	1	1
a.1.mtx.1.value	1	0
a.1.mtx.2.mute	1	0
a.1.mtx.2.pan	1	0.5
a.1.mtx.2.postproc	1	1
a.1.mtx.2.value	1	0
a.1.mtx.3.mute	1	0
a.1.mtx.3.pan	1	0.5
a.1.mtx.3.postproc	1	1
a.1.mtx.3.value	1	0
a.1.mtx.4.mute	1	0
a.1.mtx.4.pan	1	0.5
a.1.mtx.4.postproc	1	1
a.1.mtx.4.value	1	0
a.1.mtx.5.mute	1	0
a.1.mtx.5.pan	1	0.5
a.1.mtx.5.postproc	1	1
a.1.mtx.5.value	1	0
a.1.mtx.6.mute	1	0
a.1.mtx.6.pan	1	0.5
a.1.mtx.6.postproc	1	1
a.1.mtx.6.value	1	0
a.1.mtx.7.mute	1	0
a.1.mtx.7.pan	1	0.5
a.1.mtx.7.postproc	1	1
a.1.mtx.7.value	1	0
a.1.mtx.8.mute	1	0
a.1.mtx.8.pan	1	0.5
a.1.mtx.8.postproc	1	1
a.1.mtx.8.value	1	0
a.1.mtx.9.mute	1	0
a.1.mtx.9.pan	1	0.5
a.1.mtx.9.postproc	1	1
a.1.mtx.9.value	1	0
a.1.mute	1	0
a.1.name	1	
a.1.pan	1	0.5
a.1.safe	1	0
a.1.solo	1	0
a.1.stereoIndex	1	-1
a.1.vca	1	-1
